track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise (feat. L.V.),241933,4,False,,,,,,"west coast hip hop, g-funk, g-funk, west coast hip hop, new jack swing"
0pRIs6EFRLniTBxEsR0g0g,Arcade Mode,408011,0,False,,,,,,"melodic techno, melodic house, afro house, techno"
4h92Z1GFBigNPN2JeHzWu7,22 Police,336188,19,False,,,,,,"melodic techno, melodic house, progressive house, melodic techno, melodic house, progressive house"
7nQlL2qz48N3TGFIl7CpWw,Hustler - Solomun Remix,422680,20,False,,,,,,"melodic techno, minimal techno, techno, deep house, melodic house"
3fxHtZcT9NnbtvH2oJwCOE,Altered State,236307,28,False,,,,,,"rally house, house"
5i7RvRKlvkuIU8jfVPm0yA,Air,217213,0,False,,,,,,"big room, edm"
4CL3xg1ahV85g8hsZqZyga,Nature,259317,24,False,,,,,,
5mOPeaSXywGZX3mDflbDsq,Birch Tree,261133,0,False,,,,,,indie
6c70NUHAXgzhRPIxjWa2ku,Aber,315707,26,False,,,,,,deep house
0ZY1TYRRPpEAu1KUuxnaKM,LEGACY,205589,36,False,,,,,,"melodic techno, techno, acid techno, melodic house"
7CuXB3Dr61IvDFEWfqG3sE,More,216699,65,False,,,,,,"melodic house, melodic techno, deep house"
3nhYoFp5I9OGl1mNb1kPps,Raw Matters - Original Mix,328951,16,False,,,,,,"hard techno, acid techno, techno"
20J5QaInjzeb5Rd3HpyCrC,Vowels,185777,0,False,,,,,,
78iVPIyFgGjQ0g0TmDWYtQ,Tongue,304825,0,False,,,,,,
7eyiZP6qJ4y11FrTnFpCEC,It All Ends,253246,0,False,,,,,,"hard techno, acid techno, techno, hardcore techno, tekno"
3wojLunY4dRlM51YoSGDdl,Warriors - Original Mix,328336,0,False,,,,,,"big room, edm, electro house, progressive house, psytrance, progressive trance"
5wi7zSv1nN43Z2WDsVLbRN,Here I Stand (feat. Cimo Fränkel) - Radio Edit,217500,22,False,,,,,,"progressive house, progressive house"
32uzMvtg0JKDKZzg6KhHoZ,Angel 1,346587,0,False,,,,,,"melodic techno, melodic house, techno, progressive house, melodic techno, melodic house, techno, stutter house"
1cuvBIEAnlBohQwQIjNQJn,Omen,215806,0,False,,,,,,"big beat, breakbeat, hardcore techno"
2WlnczYDjRaMZNZCrCuxxo,Outro,264473,21,False,,,,,,"melodic house, deep house, progressive house"
3FrX3mx8qq7SZX2NYbzDoj,Who's That Chick? (feat. Rihanna),201040,48,False,,,,,,edm
6ZIT7Isugjflmm3TDIkgji,So Hot - Original Mix,404548,0,False,,,,,,
5su8Hl3YmYuiirnAptsYOI,No Lover,142124,24,False,,,,,,"acid techno, techno, hard techno, tekno"
4rsnn1aFlcRbaOmGQCCT1K,Too Late,256330,33,False,,,,,,minimal techno
6KSo1lI5GUtlvksaDWM7ZO,Missing You,207265,0,False,,,,,,french house
38CfrUNgdukmo5FwaA7WMt,Voices - Eric Prydz Remix,452120,0,False,,,,,,progressive house
56YjHOutYKR9mzl86loPpz,Jump Into,274900,30,False,,,,,,
7Mpr7b2N2GGp5kUSRIzNGi,Rest,208522,0,False,,,,,,
1kGxbmTY7JmbOMgVMyqlJw,Golden Maps,205000,1,False,,,,,,
7e4FX2yIz7qpcNjt4b6Oqb,The Beauty Of Silence,181506,0,False,,,,,,trance
0AJBa03FJvsCwXHjRoBpeM,Twisted,259984,55,False,,,,,,
3J2uraC2izJkUBYj6iKUQ4,"The Mountains - Iberian Muse, Wurtz Remix",384000,1,False,,,,,,"organic house, melodic techno, melodic techno, melodic house, melodic techno, melodic house"
3tYYypENWxaS1DKUtcH8S8,Don't Stop,196916,57,False,,,,,,"hard house, eurodance, trance, hypertechno, hypertechno, techno"
7KTcccQfiGgaCsP8TpR9sf,You Need The Drugs - &ME Remix,462726,31,False,,,,,,"happy hardcore, afro house, afro tech, melodic house, house"
6egKlzcoIcwOy9hy0PiMLA,Balthazar,362272,30,False,,,,,,"hard techno, techno, acid techno, tekno"
3fuXKiEzDCs1IBnLHQ5CL0,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",238746,0,False,,,,,,"progressive rock, psychedelic rock, classic rock, art rock, rock"
54JnzTOS1pJccGfM1OALYe,Symbiosis,507225,1,False,,,,,,"melodic techno, indie dance, melodic house, progressive house"
3H3cOQ6LBLSvmcaV7QkZEu,Aerodynamic,212546,65,False,,,,,,"french house, electronic, electro"
1brwdYwjltrJo7WHpIvbYt,Faded,212626,3,False,,,,,,
2xbQjtwkubYCRCwJxhEp7R,Path of Nothing,250865,43,False,,,,,,"electro swing, nu jazz, swing music, acid jazz, lounge, frenchcore"
6NbR47LKq9i4ZVKzLkYahi,The Arctic Voice,390579,15,False,,,,,,"organic house, minimal techno, melodic techno, minimal techno, techno, melodic house"
059ACLUOyEcdruA2m9f2jd,Unstoppable,217746,62,False,,,,,,
3w8DfXAzWkBWRuyqM5QKtE,High Floors - Original Mix,315087,13,False,,,,,,
55YClWYJCtrXLc6bOgeVGZ,Loving You Like Always - Innellea Remix,323233,23,False,,,,,,"melodic techno, minimal techno, techno, electro, melodic techno, melodic house, techno, progressive house, trip hop, downtempo"
5hWNmlOJpNouO4L2Vw8INw,Petroleum - (Jeremy Olander vs. Kent),392903,20,False,,,,,,"progressive house, melodic house, melodic techno, progressive house"
0KZt1g5kiofhQypH13qlNq,Metropolis,330013,23,False,,,,,,"edm, big room, edm, electro house, progressive house"
5dKBaysNJtfpyNTRa5lqDb,A-Punk,137760,4,False,,,,,,"indie, baroque pop"
3vKEhpypVoV12vPyiSSB1h,Hidden Worlds,339130,0,False,,,,,,lo-fi house
6mrwve7gZ6eDGjeSS3pHJ9,Back In - Original Mix,297966,0,False,,,,,,deep house
